,2. LeViT-UNet: Make Faster Encoders with Transformer for Medical Image Segmentation
,3. UNet++: A Nested U-Net Architecture for Medical Image Segmentation
Retrieved Terms,"1. ['cs.CV', 'cs.CR']"
,2. ['cs.CV']
,"3. ['cs.CV', 'cs.LG', 'eess.IV', 'stat.ML']"
Similarities,1. 0.8018
,2. 0.7984
,3. 0.7839
Manual Evaluation,Missing
Reason,Document retrieval fail
,
,
Question 3,"No Hallucination - Correct documents on deep learning but no relevant info on challenges. Answer is from the documents but is incorrect. Quality of response - Bad - it only got ""Deep Learning"" from documents that tells more about deep learning but since documents had no challenges it had no reference to challenges. Hence the incorrect response"
Question,What challenge do deep models face?
Answer,Deep learning
Actual Answers,A: Domain shifts between source and new data.
Retrieved Docs,"1. ""We present DLTK, a toolkit providing baseline implementations for efficient experimentation with deep learning methods on biomedical images. It builds on top of TensorFlow and its high modularity and easy-to-use examples allow for a low-threshold access to state-of-the-art implementations for typical medical imaging problems. A comparison of DLTK's reference implementations of popular network architectures for image segmentation demonstrates new top performance on the publicly available challenge data Multi-Atlas Labeling Beyond the Cranial Vault. The average test Dice similarity coefficient of $81.5$ exceeds the previously best performing CNN ($75.7$) and the accuracy of the challenge-winning method ($79.0$)."""
,
,"2. ""Deep Neural Networks (DNNs) are widely used for decision making in a myriad of critical applications, ranging from medical to societal and even judicial. Given the importance of these decisions, it is crucial for us to be able to interpret these models. We introduce a new method for interpreting image segmentation models by learning regions of images in which noise can be applied without hindering downstream model performance. We apply this method to segmentation of the pancreas in CT scans and qualitatively compare the quality of the method to existing explainability techniques, such as Grad-CAM and occlusion sensitivity. Additionally, we show that, unlike other methods, our interpretability model can be quantitatively evaluated based on the downstream performance over obscured images."""
,
,"3. ""Deep Learning (DL) models are becoming larger because the increase in model size might offer significant accuracy gain. To enable the training of large deep networks, data parallelism and model parallelism are two well-known approaches for parallel training. However, data parallelism does not help reduce memory footprint per device. In this work, we introduce Large deep 3D ConvNets with Automated Model Parallelism (LAMP) and investigate the impact of both input's and deep 3D ConvNets' size on segmentation accuracy. Through automated model parallelism, it is feasible to train large deep 3D ConvNets with a large input patch, even the whole image. Extensive experiments demonstrate that, facilitated by the automated model parallelism, the segmentation accuracy can be improved through increasing model size and input context size, and large input yields significant inference speedup compared with sliding window of small patches in the inference. Code is available here."""
Retrieved Titles,1. DLTK: State of the Art Reference Implementations for Deep Learning on Medical Images
,2. U-Noise: Learnable Noise Masks for Interpretable Image Segmentation
,3. LAMP: Large Deep Nets with Automated Model Parallelism for Image Segmentation
Retrieved Terms,"1. ['cs.CV', 'cs.LG']"
,2. ['cs.CV']
,"3. ['cs.CV', 'cs.DC', 'cs.LG', 'cs.NE', 'eess.IV']"
Similarities,1. 0.8471
,2. 0.8460
,3. 0.8459
Manual Evaluation,Missing
Reason,Document retrieval fail
,
,
Question 4,No Hallucination: Answer is based on the document retrieved however the answer is not correct.
Question,How does transfer learning reduce data labeling costs?
Answer,Transfer learning
Actual Answers,A: It uses knowledge from a related domain.
Retrieved Docs,"1. ""Machine learning has been utilized to perform tasks in many different domains such as classification, object detection, image segmentation and natural language analysis. Data labeling has always been one of the most important tasks in machine learning. However, labeling large amounts of data increases the monetary cost in machine learning. As a result, researchers started to focus on reducing data annotation and labeling costs. Transfer learning was designed and widely used as an efficient approach that can reasonably reduce the negative impact of limited data, which in turn, reduces the data preparation cost. Even transferring previous knowledge from a source domain reduces the amount of data needed in a target domain. However, large amounts of annotated data are still demanded to build robust models and improve the prediction accuracy of the model. Therefore, researchers started to pay more attention on auto annotation and labeling. In this survey paper, we provide a review of previous techniques that focuses on optimized data annotation and labeling for video, audio, and text data."""
,
,"2. ""In this paper, we propose to tackle the problem of reducing discrepancies between multiple domains referred to as multi-source domain adaptation and consider it under the target shift assumption: in all domains we aim to solve a classification problem with the same output classes, but with labels' proportions differing across them. This problem, generally ignored in the vast majority of domain adaptation papers, is nevertheless critical in real-world applications, and we theoretically show its impact on the adaptation success. To address this issue, we design a method based on optimal transport, a theory that has been successfully used to tackle adaptation problems in machine learning. Our method performs multi-source adaptation and target shift correction simultaneously by learning the class probabilities of the unlabeled target sample and the coupling allowing to align two (or more) probability distributions. Experiments on both synthetic and real-world data related to satellite image segmentation task show the superiority of the proposed method over the state-of-the-art."""
,
,"3. ""Conventional transfer learning leverages weights of pre-trained networks, but mandates the need for similar neural architectures. Alternatively, knowledge distillation can transfer knowledge between heterogeneous networks but often requires access to the original training data or additional generative networks. Knowledge transfer between networks can be improved by being agnostic to the choice of network architecture and reducing the dependence on original training data. We propose a knowledge transfer approach from a teacher to a student network wherein we train the student on an independent transferal dataset, whose annotations are generated by the teacher. Experiments were conducted on five state-of-the-art networks for semantic segmentation and seven datasets across three imaging modalities. We studied knowledge transfer from a single teacher, combination of knowledge transfer and fine-tuning, and knowledge transfer from multiple teachers. The student model with a single teacher achieved similar performance as the teacher; and the student model with multiple teachers achieved better performance than the teachers. The salient features of our algorithm include: 1) no need for original training data or generative networks, 2) knowledge transfer between different architectures, 3) ease of implementation for downstream tasks by using the downstream task dataset as the transferal dataset, 4) knowledge transfer of an ensemble of models, trained independently, into one student model. Extensive experiments demonstrate that the proposed algorithm is effective for knowledge transfer and easily tunable."""
Retrieved Titles,"1. A Survey on Machine Learning Techniques for Auto Labeling of Video, Audio, and Text Data"
,2. Optimal Transport for Multi-source Domain Adaptation under Target Shift
,3. Network-Agnostic Knowledge Transfer for Medical Image Segmentation
Retrieved Terms,1. ['cs.LG']
,2. ['stat.ML']
,3. ['cs.CV']
Similarities,1. 0.9168
,2. 0.8746
,3. 0.8726
Manual Evaluation,Correct
Reason,Document retrieval success. Failed to answer.
,
,
Question 5,No Hallucination: Answer is from the first document and answer is correct and well structured. High Quality Answer.
Question,What is StructBoost in boosting algorithms?
Answer,A method for learning a single accurate predictor by linearly combining a set of weak structured learners
Actual Answers,A: It combines weak structured learners for prediction.
Retrieved Docs,"1. ""Boosting is a method for learning a single accurate predictor by linearly combining a set of less accurate weak learners. Recently, structured learning has found many applications in computer vision. Inspired by structured support vector machines (SSVM), here we propose a new boosting algorithm for structured output prediction, which we refer to as StructBoost. StructBoost supports nonlinear structured learning by combining a set of weak structured learners. As SSVM generalizes SVM, our StructBoost generalizes standard boosting approaches such as AdaBoost, or LPBoost to structured learning. The resulting optimization problem of StructBoost is more challenging than SSVM in the sense that it may involve exponentially many variables and constraints. In contrast, for SSVM one usually has an exponential number of constraints and a cutting-plane method is used. In order to efficiently solve StructBoost, we formulate an equivalent $ 1 $-slack formulation and solve it using a combination of cutting planes and column generation. We show the versatility and usefulness of StructBoost on a range of problems such as optimizing the tree loss for hierarchical multi-class classification, optimizing the Pascal overlap criterion for robust visual tracking and learning conditional random field parameters for image segmentation."""
,
,"2. ""Complex classification performance metrics such as the F${}\beta$-measure and Jaccard index are often used, in order to handle class-imbalanced cases such as information retrieval and image segmentation. These performance metrics are not decomposable, that is, they cannot be expressed in a per-example manner, which hinders a straightforward application of M-estimation widely used in supervised learning. In this paper, we consider linear-fractional metrics, which are a family of classification performance metrics that encompasses many standard ones such as the F${}\beta$-measure and Jaccard index, and propose methods to directly maximize performances under those metrics. A clue to tackle their direct optimization is a calibrated surrogate utility, which is a tractable lower bound of the true utility function representing a given metric. We characterize sufficient conditions which make the surrogate maximization coincide with the maximization of the true utility. Simulation results on benchmark datasets validate the effectiveness of our calibrated surrogate maximization especially if the sample sizes are extremely small."""
,
,"3. ""We consider the structured-output prediction problem through probabilistic approaches and generalize the 'perturb-and-MAP' framework to more challenging weighted Hamming losses, which are crucial in applications. While in principle our approach is a straightforward marginalization, it requires solving many related MAP inference problems. We show that for log-supermodular pairwise models these operations can be performed efficiently using the machinery of dynamic graph cuts. We also propose to use double stochastic gradient descent, both on the data and on the perturbations, for efficient learning. Our framework can naturally take weak supervision (e.g., partial labels) into account. We conduct a set of experiments on medium-scale character recognition and image segmentation, showing the benefits of our algorithms."""
Retrieved Titles,1. StructBoost: Boosting Methods for Predicting Structured Output Variables
,2. Calibrated Surrogate Maximization of Linear-fractional Utility in Binary Classification
,3. Marginal Weighted Maximum Log-likelihood for Efficient Learning of Perturb-and-Map Models
Retrieved Terms,1. ['cs.LG']
,"2. ['cs.LG', 'stat.ML']"
,"3. ['stat.ML', 'cs.LG']"
Similarities,1. 0.9143
,2. 0.8488
,3. 0.8478
Manual Evaluation,Correct
Reason,Document retrieval success. Right answer.
,
,
Question 6,No Hallucination: Correct Document retrieval and answer is based in the document retrieved. Correct answer and high quality answer referenced directly from the first document retrieved.
Question,What problem does Augmented CycleGAN address?
Answer,Learning inter-domain mappings from unpaired data
Actual Answers,A: It learns many-to-many domain mappings.
Retrieved Docs,"1. ""Learning inter-domain mappings from unpaired data can improve performance in structured prediction tasks, such as image segmentation, by reducing the need for paired data. CycleGAN was recently proposed for this problem, but critically assumes the underlying inter-domain mapping is approximately deterministic and one-to-one. This assumption renders the model ineffective for tasks requiring flexible, many-to-many mappings. We propose a new model, called Augmented CycleGAN, which learns many-to-many mappings between domains. We examine Augmented CycleGAN qualitatively and quantitatively on several image datasets."""
,
,"2. ""Generative adversarial networks (GANs) have shown great success in applications such as image generation and inpainting. However, they typically require large datasets, which are often not available, especially in the context of prediction tasks such as image segmentation that require labels. Therefore, methods such as the CycleGAN use more easily available unlabelled data, but do not offer a way to leverage additional labelled data for improved performance. To address this shortcoming, we show how to factorise the joint data distribution into a set of lower-dimensional distributions along with their dependencies. This allows splitting the discriminator in a GAN into multiple 'sub-discriminators' that can be independently trained from incomplete observations. Their outputs can be combined to estimate the density ratio between the joint real and the generator distribution, which enables training generators as in the original GAN framework. We apply our method to image generation, image segmentation and audio source separation, and obtain improved performance over a standard GAN when additional incomplete training examples are available. For the Cityscapes segmentation task in particular, our method also improves accuracy by an absolute 14.9% over CycleGAN while using only 25 additional paired examples."""
,
,"3. ""We tackle the problem of graph partitioning for image segmentation using correlation clustering (CC), which we treat as an integer linear program (ILP). We reformulate optimization in the ILP so as to admit efficient optimization via Benders decomposition, a classic technique from operations research. Our Benders decomposition formulation has many subproblems, each associated with a node in the CC instance's graph, which are solved in parallel. Each Benders subproblem enforces the cycle inequalities corresponding to the negative weight edges attached to its corresponding node in the CC instance. We generate Magnanti-Wong Benders rows in addition to standard Benders rows, to accelerate optimization. Our Benders decomposition approach provides a promising new avenue to accelerate optimization for CC, and allows for massive parallelization."""
Retrieved Titles,1. Augmented CycleGAN: Learning Many-to-Many Mappings from Unpaired Data
,2. Training Generative Adversarial Networks from Incomplete Observations using Factorised Discriminators
,3. Massively Parallel Benders Decomposition for Correlation Clustering
Retrieved Terms,1. ['cs.LG']
,"2. ['cs.LG', 'stat.ML']"
,"3. ['cs.CV', 'cs.DS']"
Similarities,1. 0.8619
,2. 0.8375
,3. 0.8293
Manual Evaluation,Correct
Reason,Document retrieval success. Right answer.
,
,
Question 7,No Hallucinations -  Document retrieval is correct and answer is based on the document. However the quality of answer is not good. It just pulled the optimization algorithm's name instead of saying what it optimizes which is available in the first document. The answer it pulled from was the second document.
Question,What does the new algorithm for transductive inference optimize?
Answer,Lazy Modular Bayesian Optimization
Actual Answers,A: It optimizes classifier parameters and label variables.
Retrieved Docs,"1. ""This paper introduces a novel algorithm for transductive inference in higher-order MRFs, where the unary energies are parameterized by a variable classifier. The considered task is posed as a joint optimization problem in the continuous classifier parameters and the discrete label variables. In contrast to prior approaches such as convex relaxations, we propose an advantageous decoupling of the objective function into discrete and continuous subproblems and a novel, efficient optimization method related to ADMM. This approach preserves integrality of the discrete label variables and guarantees global convergence to a critical point. We demonstrate the advantages of our approach in several experiments including video object segmentation on the DAVIS data set and interactive image segmentation."""
,
,"2. ""Most existing black-box optimization methods assume that all variables in the system being optimized have equal cost and can change freely at each iteration. However, in many real world systems, inputs are passed through a sequence of different operations or modules, making variables in earlier stages of processing more costly to update. Such structure imposes a cost on switching variables in early parts of a data processing pipeline. In this work, we propose a new algorithm for switch cost-aware optimization called Lazy Modular Bayesian Optimization (LaMBO). This method efficiently identifies the global optimum while minimizing cost through a passive change of variables in early modules. The method is theoretical grounded and achieves vanishing regret when augmented with switching cost. We apply LaMBO to multiple synthetic functions and a three-stage image segmentation pipeline used in a neuroscience application, where we obtain promising improvements over prevailing cost-aware Bayesian optimization algorithms. Our results demonstrate that LaMBO is an effective strategy for black-box optimization that is capable of minimizing switching costs in modular systems."""
,
,"3. ""Performing inference in graphs is a common task within several machine learning problems, e.g., image segmentation, community detection, among others. For a given undirected connected graph, we tackle the statistical problem of exactly recovering an unknown ground-truth binary labeling of the nodes from a single corrupted observation of each edge. Such problem can be formulated as a quadratic combinatorial optimization problem over the boolean hypercube, where it has been shown before that one can (with high probability and in polynomial time) exactly recover the ground-truth labeling of graphs that have an isoperimetric number that grows with respect to the number of nodes (e.g., complete graphs, regular expanders). In this work, we apply a powerful hierarchy of relaxations, known as the sum-of-squares (SoS) hierarchy, to the combinatorial problem. Motivated by empirical evidence on the improvement in exact recoverability, we center our attention on the degree-4 SoS relaxation and set out to understand the origin of such improvement from a graph theoretical perspective. We show that the solution of the dual of the relaxed problem is related to finding edge weights of the Johnson and Kneser graphs, where the weights fulfill the SoS constraints and intuitively allow the input graph to increase its algebraic connectivity. Finally, as byproduct of our analysis, we derive a novel Cheeger-type lower bound for the algebraic connectivity of graphs with signed edge weights."""
Retrieved Titles,1. Discrete-Continuous ADMM for Transductive Inference in Higher-Order MRFs
,2. Bayesian optimization for modular black-box systems with switching costs
,3. A Thorough View of Exact Inference in Graphs from the Degree-4 Sum-of-Squares Hierarchy
Retrieved Terms,1. ['cs.LG']
,"2. ['cs.LG', 'stat.ML']"
,"3. ['cs.LG', 'cs.AI', 'stat.ML']"
Similarities,1. 0.9108
,2. 0.8744
,3. 0.8731
Manual Evaluation,Correct
Reason,Document retrieval success. But the answer was generated from the 2nd document as we collected total 3 documents.
,
,
Question 8,No hallucination - Incorrect answers as correct document retrieval failed (incorrect document retrieval done) No answer present in the documents so model just randomly gave a term from the documents
Question,What does DSAL combine for image segmentation?
Answer,Chan-Vese model
Actual Answers,A: It combines active learning and semi-supervised learning.
Retrieved Docs,"1. ""In order to completely separate objects with large sections of occluded boundaries in an image, we devise a new variational level set model for image segmentation combining the Chan-Vese model with elastica and landmark constraints. For computational efficiency, we design its Augmented Lagrangian Method (ALM) or Alternating Direction Method of Multiplier (ADMM) method by introducing some auxiliary variables, Lagrange multipliers, and penalty parameters. In each loop of alternating iterative optimization, the sub-problems of minimization can be easily solved via the Gauss-Seidel iterative method and generalized soft thresholding formulas with projection, respectively. Numerical experiments show that the proposed model can not only recover larger broken boundaries but can also improve segmentation efficiency, as well as decrease the dependence of segmentation on parameter tuning and initialization."""
,
,"2. ""In a class of piecewise-constant image segmentation models, we propose to incorporate a weighted difference of anisotropic and isotropic total variation (AITV) to regularize the partition boundaries in an image. In particular, we replace the total variation regularization in the Chan-Vese segmentation model and a fuzzy region competition model by the proposed AITV. To deal with the nonconvex nature of AITV, we apply the difference-of-convex algorithm (DCA), in which the subproblems can be minimized by the primal-dual hybrid gradient method with linesearch. The convergence of the DCA scheme is analyzed. In addition, a generalization to color image segmentation is discussed. In the numerical experiments, we compare the proposed models with the classic convex approaches and the two-stage segmentation methods (smoothing and then thresholding) on various images, showing that our models are effective in image segmentation and robust with respect to impulsive noises."""
,
,"3. ""Superpixel algorithms, which group pixels similar in color and other low-level properties, are increasingly used for pre-processing in image segmentation. Commonly important criteria for the computation of superpixels are boundary adherence, speed, and regularity. Boundary adherence and regularity are typically contradictory goals. Most recent algorithms have focused on improving boundary adherence. Motivated by improving superpixel regularity, we propose a diagram-based superpixel generation method called Power-SLIC. On the BSDS500 data set, Power-SLIC outperforms other state-of-the-art algorithms in terms of compactness and boundary precision, and its boundary adherence is the most robust against varying levels of Gaussian noise. In terms of speed, Power-SLIC is competitive with SLIC."""
Retrieved Titles,1. The Chan-Vese Model with Elastica and Landmark Constraints for Image Segmentation
,2. A Weighted Difference of Anisotropic and Isotropic Total Variation for Relaxed Mumford-Shah Color and Multiphase Image Segmentation
,3. Power-SLIC: Diagram-based superpixel generation
Retrieved Terms,1. ['cs.CV']
,2. ['cs.CV']
,"3. ['cs.CV', 'cs.CG', 'cs.LG']"
Similarities,1. 0.8865
,2. 0.8848
,3. 0.8827
Manual Evaluation,Missing
Reason,Document retrieval fail.
,
,
Question 9,"No Hallucination, answer is from the retrieved documents. However the documents retrieved are individual documents with no commonality (1st and 2nd) for different keywords ""target shift"" (1st doc) and StructBoost (2nd Document). The answer might not be correct however the answers are based on the documents retrieved"
Question,What problem does StructBoost address in multi-source domain adaptation?
Answer,reducing discrepancies between multiple domains referred to as multi-source domain adaptation
Actual Answers,A: It addresses discrepancies due to target shift across multiple domains.
Retrieved Docs,"1. ""In this paper, we propose to tackle the problem of reducing discrepancies between multiple domains referred to as multi-source domain adaptation and consider it under the target shift assumption: in all domains we aim to solve a classification problem with the same output classes, but with labels' proportions differing across them. This problem, generally ignored in the vast majority of papers on domain adaptation, is nevertheless critical in real-world applications, and we theoretically show its impact on the adaptation success. To address this issue, we design a method based on optimal transport, a theory that has been successfully used to tackle adaptation problems in machine learning. Our method performs multi-source adaptation and target shift correction simultaneously by learning the class probabilities of the unlabeled target sample and the coupling allowing to align two (or more) probability distributions. Experiments on both synthetic and real-world data related to satellite image segmentation task show the superiority of the proposed method over the state-of-the-art."""
,
,"2. ""Boosting is a method for learning a single accurate predictor by linearly combining a set of less accurate weak learners. Recently, structured learning has found many applications in computer vision. Inspired by structured support vector machines (SSVM), here we propose a new boosting algorithm for structured output prediction, which we refer to as StructBoost. StructBoost supports nonlinear structured learning by combining a set of weak structured learners. As SSVM generalizes SVM, our StructBoost generalizes standard boosting approaches such as AdaBoost, or LPBoost to structured learning. The resulting optimization problem of StructBoost is more challenging than SSVM in the sense that it may involve exponentially many variables and constraints. In contrast, for SSVM one usually has an exponential number of constraints and a cutting-plane method is used. In order to efficiently solve StructBoost, we formulate an equivalent $ 1 $-slack formulation and solve it using a combination of cutting planes and column generation. We show the versatility and usefulness of StructBoost on a range of problems such as optimizing the tree loss for hierarchical multi-class classification, optimizing the Pascal overlap criterion for robust visual tracking, and learning conditional random field parameters for image segmentation."""
,
,"3. ""We present the 2017 Visual Domain Adaptation (VisDA) dataset and challenge, a large-scale testbed for unsupervised domain adaptation across visual domains. Unsupervised domain adaptation aims to solve the real-world problem of domain shift, where machine learning models trained on one domain must be transferred and adapted to a novel visual domain without additional supervision. The VisDA2017 challenge is focused on the simulation-to-reality shift and has two associated tasks: image classification and image segmentation. The goal in both tracks is to first train a model on simulated, synthetic data in the source domain and then adapt it to perform well on real image data in the unlabeled test domain. Our dataset is the largest one to date for cross-domain object classification, with over 280K images across 12 categories in the combined training, validation, and testing domains. The image segmentation dataset is also large-scale with over 30K images across 18 categories in the three domains. We compare VisDA to existing cross-domain adaptation datasets and provide a baseline performance analysis using various domain adaptation models that are currently popular in the field."""
Retrieved Titles,1. Optimal Transport for Multi-source Domain Adaptation under Target Shift
,2. StructBoost: Boosting Methods for Predicting Structured Output Variables
,3. VisDA: The Visual Domain Adaptation Challenge
Retrieved Terms,1. ['stat.ML']
,2. ['cs.LG']
,3. ['cs.CV']
Similarities,1. 0.8869
,2. 0.8852
,3. 0.8784
Manual Evaluation,Correct
Reason,Document retrieval success. Right answer.
,
,
Question 10,No Hallucination: Correct answer from 1st retrieved document. High quality of answer
Question,What is the benefit of using surrogate maximization for performance metrics?
Answer,We characterize sufficient conditions which make the surrogate maximization coincide with the maximization of the true utility
Actual Answers,A: It allows direct maximization of complex classification metrics.
Retrieved Docs,"1. ""Complex classification performance metrics such as the F${}\beta$-measure and Jaccard index are often used, in order to handle class-imbalanced cases such as information retrieval and image segmentation. These performance metrics are not decomposable, that is, they cannot be expressed in a per-example manner, which hinders a straightforward application of M-estimation widely used in supervised learning. In this paper, we consider linear-fractional metrics, which are a family of classification performance metrics that encompasses many standard ones such as the F${}\beta$-measure and Jaccard index, and propose methods to directly maximize performances under those metrics. A clue to tackle their direct optimization is a calibrated surrogate utility, which is a tractable lower bound of the true utility function representing a given metric. We characterize sufficient conditions which make the surrogate maximization coincide with the maximization of the true utility. Simulation results on benchmark datasets validate the effectiveness of our calibrated surrogate maximization especially if the sample sizes are extremely small."""
,
,"2. ""The Dice score and Jaccard index are commonly used metrics for the evaluation of segmentation tasks in medical imaging. Convolutional neural networks trained for image segmentation tasks are usually optimized for (weighted) cross-entropy. This introduces an adverse discrepancy between the learning optimization objective (the loss) and the end target metric. Recent works in computer vision have proposed soft surrogates to alleviate this discrepancy and directly optimize the desired metric, either through relaxations (soft-Dice, soft-Jaccard) or submodular optimization (Lov�sz-softmax). The aim of this study is two-fold. First, we investigate the theoretical differences in a risk minimization framework and question the existence of a weighted cross-entropy loss with weights theoretically optimized to surrogate Dice or Jaccard. Second, we empirically investigate the behavior of the aforementioned loss functions w.r.t. evaluation with Dice score and Jaccard index on five medical segmentation tasks. Through the application of relative approximation bounds, we show that all surrogates are equivalent up to a multiplicative factor, and that no optimal weighting of cross-entropy exists to approximate Dice or Jaccard measures. We validate these findings empirically and show that, while it is important to opt for one of the target metric surrogates rather than a cross-entropy-based loss, the choice of the surrogate does not make a statistical difference on a wide range of medical segmentation tasks."""
,
,"3. ""Most existing black-box optimization methods assume that all variables in the system being optimized have equal cost and can change freely at each iteration. However, in many real world systems, inputs are passed through a sequence of different operations or modules, making variables in earlier stages of processing more costly to update. Such structure imposes a cost on switching variables in early parts of a data processing pipeline. In this work, we propose a new algorithm for switch cost-aware optimization called Lazy Modular Bayesian Optimization (LaMBO). This method efficiently identifies the global optimum while minimizing cost through a passive change of variables in early modules. The method is theoretical grounded and achieves vanishing regret when augmented with switching cost. We apply LaMBO to multiple synthetic functions and a three-stage image segmentation pipeline used in a neuroscience application, where we obtain promising improvements over prevailing cost-aware Bayesian optimization algorithms. Our results demonstrate that LaMBO is an effective strategy for black-box optimization that is capable of minimizing switching costs in modular systems."""
Retrieved Titles,1. Calibrated Surrogate Maximization of Linear-fractional Utility in Binary Classification
,2. Optimizing the Dice Score and Jaccard Index for Medical Image Segmentation: Theory & Practice
,3. Bayesian optimization for modular black-box systems with switching costs
Retrieved Terms,"1. ['cs.LG', 'stat.ML']"
,"2. ['cs.CV', 'cs.LG', 'eess.IV']"
,"3. ['cs.LG', 'stat.ML']"
Similarities,1. 0.8967
,2. 0.8618
,3. 0.8603
Manual Evaluation,Correct
Reason,Document retrieval success. Right answer.
,
,
